Frequency (Hz),Z_real (Ohm),Z_imag (Ohm)
1.00,0.72,-0.45
1.05,0.70,-0.46
1.10,0.68,-0.47
1.15,0.66,-0.47
1.21,0.63,-0.48
1.26,0.61,-0.49
1.33,0.59,-0.49
1.39,0.57,-0.50
1.46,0.54,-0.50
1.53,0.52,-0.50
1.60,0.50,-0.50
1.68,0.47,-0.50
1.76,0.45,-0.50
1.84,0.43,-0.49
1.93,0.40,-0.49
2.02,0.38,-0.49
2.12,0.36,-0.48
2.22,0.34,-0.47
2.33,0.32,-0.47
2.44,0.30,-0.46
2.56,0.28,-0.45
2.68,0.26,-0.44
2.81,0.24,-0.43
2.95,0.23,-0.42
3.09,0.21,-0.41
3.24,0.19,-0.40
3.39,0.18,-0.38
3.56,0.17,-0.37
3.73,0.15,-0.36
3.91,0.14,-0.35
4.09,0.13,-0.34
4.29,0.12,-0.33
4.50,0.11,-0.31
4.71,0.10,-0.30
4.94,0.09,-0.29
5.18,0.09,-0.28
5.43,0.08,-0.27
5.69,0.07,-0.26
5.96,0.07,-0.25
6.25,0.06,-0.24
6.55,0.06,-0.23
6.87,0.05,-0.22
7.20,0.05,-0.21
7.54,0.04,-0.20
7.91,0.04,-0.19
8.29,0.04,-0.19
8.69,0.03,-0.18
9.10,0.03,-0.17
9.54,0.03,-0.16
10.00,0.02,-0.16
