Frequency (Hz),Z_real (Ohm),Z_imag (Ohm)
1.00,0.36,-0.23
1.05,0.35,-0.23
1.10,0.34,-0.23
1.15,0.33,-0.24
1.21,0.32,-0.24
1.26,0.31,-0.24
1.33,0.30,-0.25
1.39,0.28,-0.25
1.46,0.27,-0.25
1.53,0.26,-0.25
1.60,0.25,-0.25
1.68,0.24,-0.25
1.76,0.23,-0.25
1.84,0.21,-0.25
1.93,0.20,-0.25
2.02,0.19,-0.24
2.12,0.18,-0.24
2.22,0.17,-0.24
2.33,0.16,-0.23
2.44,0.15,-0.23
2.56,0.14,-0.22
2.68,0.13,-0.22
2.81,0.12,-0.21
2.95,0.11,-0.21
3.09,0.10,-0.20
3.24,0.10,-0.20
3.39,0.09,-0.19
3.56,0.08,-0.19
3.73,0.08,-0.18
3.91,0.07,-0.17
4.09,0.07,-0.17
4.29,0.06,-0.16
4.50,0.06,-0.16
4.71,0.05,-0.15
4.94,0.05,-0.15
5.18,0.04,-0.14
5.43,0.04,-0.13
5.69,0.04,-0.13
5.96,0.03,-0.12
6.25,0.03,-0.12
6.55,0.03,-0.11
6.87,0.03,-0.11
7.20,0.02,-0.11
7.54,0.02,-0.10
7.91,0.02,-0.10
8.29,0.02,-0.09
8.69,0.02,-0.09
9.10,0.01,-0.08
9.54,0.01,-0.08
10.00,0.01,-0.08
